岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
国际业务部实习生,130-180元/天,3个月,1、协助文档管理、文档编辑类工作,本科,1,2024-05-14 10:35,微创神通（微创脑科学）,301~1000人,上海,生物|医药
教育管理岗实习生,2-3K/月,3个月,1.协助团队完成教育类活动的策划及落地,本科,2,2024-05-15 17:23,华大集团BGI,3001人及以上,广东,生物|医药
内容运营实习生（远程）,面议,3个月,1.发现页运营：筛选站内优质用户内容，并推荐给用户。,本科,5,2024-05-14 15:05,搜狐,3001人及以上,北京,互联网|游戏|软件
财务实习生,80-100元/天,3个月,1. 整理归档各类财务凭证，催收并核对发票,本科,1,2024-05-16 10:17,东软,3001人及以上,湖北,互联网|游戏|软件
生物类实习生(J17395),2-3K/月,6个月,1. 参与生物相关科研、技术应用开发等工作；,本科,10,2024-05-15 14:42,华大集团BGI,3001人及以上,广东,生物|医药
网规实习生,120-121元/天,6个月,职责范围：,大专,1,2024-05-14 16:38,达美乐比萨,1001~3000人,全国,快速消费品
内控审计实习生,75-100元/天,3个月,1、协助部门年度工作数据的统计。,本科,1,2024-05-16 10:22,广汽财务公司,51~100人,广东,金融
活动运营实习生,100-101元/天,3个月,1、 立足项目目标，结合重要节点，参与面向目标用户的活动策划；,不限,1,2024-05-16 14:14,搜狐,3001人及以上,北京,互联网|游戏|软件
HR实习生,160-180元/天,6个月,-协助HR开展各项人力资源工作；,本科,1,2024-05-10 13:56,SABIC,3001人及以上,上海,能源|环保
医学代表实习生 – 学术型实习生-河南,110-160元/天,3个月,您将收获：,大专,30,2024-05-16 23:42,阿斯利康,3001人及以上,上海,生物|医药
财务实习生-华特迪士尼幻想工程,150-160元/天,6个月,岗位介绍 ,本科,2,2024-05-15 16:12,迪士尼,3001人及以上,上海,多元化集团
【实习招聘】国盛证券自营-REITs投研方向,100-120元/天,3个月,【工作内容】,硕士,1,2024-05-14 13:41,国盛证券,1001~3000人,上海,金融
重庆--医学部抗感染团队实习生,120-150元/天,6个月,招聘要求：,硕士,1,2024-05-14 16:35,辉瑞,3001人及以上,北京,生物|医药
人力资本及行政部实习生（HR & Admin）,130-200元/天,长期,1. 协助体系培训的资料管理和学习运营工作；30%,本科,1,2024-05-14 10:35,微创神通（微创脑科学）,301~1000人,上海,生物|医药
华大多组学脑评估项目实习生,2-3K/月,6个月,课题简介:,本科,1,2024-05-15 14:27,华大集团BGI,3001人及以上,广东,生物|医药
主播实习生,1-2K/月,3个月,1.负责直播平台日常直播工作，通过直播推广产品,大专,1,2024-05-15 14:41,华大集团BGI,3001人及以上,广东,生物|医药
人才培养实习生,2-3K/月,3个月,1、协助开展海外员工培训、学习发展项目owner，运营实施各层级学习发展项目，如参与项目的调研、筹备、交付、主持、评估等阶段,本科,1,2024-05-15 14:45,华大集团BGI,3001人及以上,广东,生物|医药
剪辑实习生,3-4K/月,长期,岗位职责：,本科,2,2024-05-11 17:00,剧星传媒,301~1000人,上海,广告|传媒|文化|体育
户用光伏事业部结算对账实习生,150-230元/天,3个月,我们正在寻找一位细心且具有分析能力的实习生，加入我们的商务团队。你将负责代理商结算对账，问题收集与分析，以及数据处理等工作。如果你对数据分析、商务流程有兴趣，欢迎加入我们！,本科,2,2024-05-13 13:05,晶科电力,1001~3000人,上海,能源|环保
摄像实习生,3-4K/月,长期,岗位职责：,本科,2,2024-05-11 16:57,剧星传媒,301~1000人,上海,广告|传媒|文化|体育
浙商研究所计算机团队【线下或远程】,面议,4个月,1、协助分析师进行研究报告撰写工作；,本科,3,2024-05-15 15:01,浙商证券,1001~3000人,浙江,金融
招聘实习生,140-180元/天,4个月,1.协助社招：根据岗位需求进行简历初筛、电话邀约、面试安排等事项；,本科,1,2024-05-10 09:51,先临三维科技股份有限公司,500-999人,浙江,互联网|游戏|软件
工程造价实习生,120-180元/天,3个月,1、配合公司项目土建工程造价的监督、审察，参与工程评标、合同审查；,本科,1,2024-05-10 09:51,先临三维科技股份有限公司,500-999人,浙江,互联网|游戏|软件
桌面运维实习生,120-180元/天,3个月,1、负责信息设备资产管理工作；,大专,1,2024-05-09 18:47,先临三维科技股份有限公司,500-999人,浙江,互联网|游戏|软件
品牌实习生,120-150元/天,3个月,1、协助负责公司大型传播event落地：协助并参与前期活动策划、资源对接、筹备落地灯工作；,本科,1,2024-05-09 16:56,保碧新能源,101~300人,上海,能源|环保
平面设计实习生,120-150元/天,3个月,1、协助负责公司活动物料（电子版、印刷物）及办公文创周边的设计工作； ,本科,1,2024-05-09 16:56,保碧新能源,101~300人,上海,能源|环保
财务实习生,150-200元/天,3个月,1.财务出纳实习生岗位，协助财务人员处理企业网银收支、对账、汇总；,本科,1,2024-05-09 16:54,源讯中国,301~1000人,北京,互联网|游戏|软件
医馆实习生,100-110元/天,6个月,【工作要求】,本科,1,2024-05-09 16:33,华润三九,3001人及以上,广东,生物|医药
信用管理实习生,100-110元/天,6个月,主要工作：主要处理一些常规的财务事项，流水台账登记及订单处理，事项传达通知，简单数据的处理，ERP系统数据维护。（非会计核算类岗位）,本科,1,2024-05-09 16:30,华润三九,3001人及以上,广东,生物|医药
价格管理实习生,100-110元/天,6个月,主要工作：主要工作：日常退货报告和订单的审批；excel制作客户盖章类文件；核实客户价格和制作调价涵等。（非会计核算类岗位）,本科,1,2024-05-09 16:30,华润三九,3001人及以上,广东,生物|医药
费用管理实习生,100-110元/天,6个月,主要工作：工作内容包括：1、日常费用核销及代理客户退保证金报告审批；2、与运营或业务对账；3、其他临时事务安排。（非会计核算类岗位）,本科,1,2024-05-09 16:30,华润三九,3001人及以上,广东,生物|医药
发票管理实习生,100-110元/天,6个月,工作内容包括：1、协助处理日常开票事宜；2、邮寄装订公司留存发票；3、其他临时工作安排。（非会计核算类岗位）,本科,1,2024-05-09 16:29,华润三九,3001人及以上,广东,生物|医药
应收稽核实习生,100-110元/天,6个月,主要工作：应收、保证金数据支持，非会计核算岗，需能熟练操作Excel等办公软件，工作内容包括： 1、出具应收、保证金函证，并跟进回函登记、扫描、归档等工作；2、日常应收数据查询、梳理、核对等；3、其他临时事务安排。,本科,1,2024-05-09 16:25,华润三九,3001人及以上,广东,生物|医药
文创设计师,50-100元/天,长期,负责纪念币等文创产品设计,不限,20,2024-05-09 15:54,京溢科技,11~50人,北京,互联网|游戏|软件
HR实习生,160-180元/天,6个月,-协助HR开展各项人力资源工作；,本科,1,2024-05-09 13:25,SABIC,3001人及以上,上海,能源|环保
视觉设计实习生,60-100元/天,3个月,1、负责网站日常更新的设计需求；,本科,1,2024-05-13 14:57,环球网,301~1000人,北京,广告|传媒|文化|体育
管培生,8-16元/天,6个月,工作职责：,本科,30,2024-05-12 11:05,德佑房产,3001人及以上,上海,互联网|游戏|软件
人事实习生,4-5K/月,长期,1、协助处理人事基本事务，人事系统考勤、培训组织等；,本科,1,2024-05-13 14:39,深圳益田假日世界商业有限公司,51~100人,广东,建筑|地产|家居
行政助理实习生,100-150元/天,长期,1、负责公司的档案管理及各类文件、资料的鉴定及统计管理工作；,大专,1,2024-05-13 14:51,久事智慧体育,11~50人,上海,互联网|游戏|软件
企划实习生,2-4K/月,长期,1、负责会员活动的策划和执行，对接会员活动供应商；,本科,1,2024-05-13 14:39,深圳益田假日世界商业有限公司,51~100人,广东,建筑|地产|家居
营运专员（实习生）,180-200元/天,长期,1、协助商家管理工作，包括商家销售管理、商家活动管理、数据分析、坪效沟通、投诉处理及收银管理等；,本科,1,2024-05-13 14:39,深圳益田假日世界商业有限公司,51~100人,广东,建筑|地产|家居
海外舆情采编助理,50-80元/天,3个月,1.协助舆情专员对海外舆情信息进行监测、采集和编辑；,本科,2,2024-05-14 10:23,环球网,301~1000人,北京,广告|传媒|文化|体育
移动端新闻实习编辑,50-80元/天,3个月,1、对客户端日常内容进行更新维护，确定推荐内容；,本科,3,2024-05-14 13:53,环球网,301~1000人,北京,广告|传媒|文化|体育
人力资源实习生,100-150元/天,长期,1、 考勤管理：协助统计公司考勤及请假数据；,本科,1,2024-05-13 14:51,久事智慧体育,11~50人,上海,互联网|游戏|软件
赛事运营实习生,100-150元/天,长期,1. 支持竞赛运营相关的日常工作；,本科,1,2024-05-13 14:51,久事智慧体育,11~50人,上海,互联网|游戏|软件
商务助理实习生,100-150元/天,长期,1、根据权益履行排期，收集整理对应物料；,本科,1,2024-05-13 14:50,久事智慧体育,11~50人,上海,互联网|游戏|软件
英语实习生,150-200元/天,长期,1、根据项目特点撰写宣传文案；,本科,2,2024-05-09 12:36,四海一家,11~50人,北京,广告|传媒|文化|体育
市场运营实习生,80-120元/天,3个月,工作职责：,本科,20,2024-05-09 16:37,高顿教育集团,1001~3000人,上海,教育培训
文案策划实习生,80-120元/天,3个月,工作职责：,本科,20,2024-05-09 16:37,高顿教育集团,1001~3000人,上海,教育培训
用户增长运营实习生,80-120元/天,3个月,工作职责：,本科,20,2024-05-09 16:37,高顿教育集团,1001~3000人,上海,教育培训
技术支持团队实习生Learning Technology team,100-150元/天,3个月,1.使用各种制作工具（包括Articulate Studio和Storyline 360），协助建立网站或基于网络的电子学习课件,不限,2,2024-05-08 15:22,普华永道,3001人及以上,上海,咨询/法律/人力资源
商务实习生,200-250元/天,3个月,1.协助处理购销合同执行相关事务；,本科,3,2024-05-09 11:03,中联恒业,51~100人,上海,交通|物流|贸易
内容运营实习生,150-200元/天,长期,工作职责：,本科,2,2024-05-08 11:42,咪咕视讯,1001~3000人,上海,互联网|游戏|软件
直播运营实习,148-150元/天,3个月,1.负责平台直播场次的站内运营，包括文字、图片、链接等资料；,本科,1,2024-05-08 11:41,咪咕视讯,1001~3000人,上海,互联网|游戏|软件
用户研究实习生,140-220元/天,3个月,1）参与用户研究工作，协助进行定性、定量等用研项目各环节的执行；,本科,1,2024-05-08 11:39,雷鸟科技,301~1000人,广东,互联网|游戏|软件
企业文化实习,140-220元/天,3个月,1.负责公司文化活动的策划及组织，如年会、拓展和出游等节日活动；,本科,10,2024-05-08 11:39,雷鸟科技,301~1000人,广东,互联网|游戏|软件
党务行政实习生,面议,3个月,1、协助由部门出具的文件、文稿、通知的起草与撰写工作；,本科,1,2024-05-08 09:38,长信基金,301~1000人,全国,金融
素材整理解析校对实习生,150-200元/天,3个月,岗位：（申论/综应）素材整理、解析校对实习生,本科,5,2024-05-08 15:17,高顿教育,3001人及以上,上海,教育培训
采购Intern,160-200元/天,3个月,"1. PR Gate Keeping. Check released PR list daily and check with end users for PR details, such as item detailed description, purpose",本科,1,2024-05-07 14:17,SABIC,3001人及以上,上海,能源|环保
IT Service （information technology) 实习生,160-180元/天,6个月,Provide assistance with IT support tasks,本科,1,2024-05-07 14:16,SABIC,3001人及以上,上海,能源|环保
产品运营,150-180元/天,4个月,1.海外视频剪辑app上视频素材的运营和策划；,本科,1,2024-05-13 14:59,小影科技,101~300人,浙江,互联网|游戏|软件
初级咨询顾问,150-200元/天,长期,1.根据垂直行业客户数字化转型需要，深入理解目标市场，分析市场发展趋势及行业趋势，包括但不限于政府、重点央国企、物流、航空、交通、教育、大数据、互联网、金融等大型行业；,本科,2,2024-05-07 19:06,中软国际,3001人及以上,北京,IT|通信|电子
唯品会社交媒体达人投放实习生,120-150元/天,4个月,1.协助进行达人筛选和内容创意文案工作；,本科,1,2024-05-06 21:08,唯品会,1001~3000人,上海,互联网|游戏|软件
供应链实习生,130-160元/天,3个月,1、协助开发供应商，建立供应商档案，确保供应商信息的完整；,本科,1,2024-05-06 17:07,Overland,51~100人,上海,生物|医药
药物开发实习生,130-180元/天,4个月,岗位介绍：,硕士,1,2024-05-06 17:07,Overland,51~100人,上海,生物|医药
储备技工,5-9K/月,长期,设备技术岗,大专,300,2024-05-06 11:29,蜂巢能源科技股份有限公司,1000-4999人,江苏,教育培训
人事行政实习生,150-200元/天,6个月,岗位职责：,本科,1,2024-05-06 09:10,正帆科技,301~1000人,上海,能源|环保
内容编辑实习生,140-160元/天,3个月,上市以来，凡科通过为企业用户提供多元、高效、易用的互联网工具，已帮助了越来越多的企业有效降低了运营成本。随着凡科规模的进一步扩大，我们期待着更多新鲜血液的加入！,大专,2,2024-05-15 09:51,凡科,301~1000人,广东,互联网|游戏|软件
新媒体推广实习生,100-150元/天,3个月,1、负责有关展会宣传的素材准备，包括图片制作、短视频剪辑等；,本科,3,2024-05-15 10:32,光亚法兰克福,11~50人,广东,广告|传媒|文化|体育
设计师实习生,180-200元/天,3个月,上市以来，凡科通过为企业用户提供多元、高效、易用的互联网工具，已帮助了越来越多的企业有效降低了运营成本。随着凡科规模的进一步扩大，我们期待着更多新鲜血液的加入！,大专,1,2024-05-15 09:51,凡科,301~1000人,广东,互联网|游戏|软件
市场调研实习生,100-150元/天,3个月,简历请发到邮箱：Christine.Lu@china.messefrankfurt.com,本科,1,2024-05-10 10:50,光亚法兰克福,11~50人,广东,广告|传媒|文化|体育
财务实习生,150-180元/天,3个月,1.员工报销工作，每周根据员工递交的报销单据，核对准确性，归集整理；,本科,2,2024-05-10 14:09,上海易界云软件有限公司,11~50人,上海,金融
信息审核实习生,140-160元/天,3个月,岗位职责:,大专,1,2024-05-16 16:15,凡科,301~1000人,广东,互联网|游戏|软件
项目助理实习生,160-200元/天,6个月,上市以来，凡科通过为企业用户提供多元、高效、易用的互联网工具，已帮助了越来越多的企业有效降低了运营成本。随着凡科规模的进一步扩大，我们期待着更多新鲜血液的加入！,大专,3,2024-05-13 10:17,凡科,301~1000人,广东,互联网|游戏|软件
展会项目助理,100-120元/天,3个月,1. 负责行业资讯收集、归纳，及整理工作，并进行排版编辑产出推文；,本科,1,2024-05-09 09:39,光亚法兰克福,11~50人,广东,广告|传媒|文化|体育
演出项目（统筹）实习生 for Keyia Studio,120-150元/天,6个月,1.协助项目经理完成项目统筹工作，跟进把控项目进度，对接好各方需求；,本科,1,2024-05-11 11:29,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
美术实习生,100-110元/天,长期,"1. 辅助创意部门进行创意资料收集,整理",本科,3,2024-05-15 11:49,VMLY&R,301~1000人,北京,广告|传媒|文化|体育
行政助理实习生,120-150元/天,6个月,1. 负责公司来访人员、 面试人员接待工作,大专,1,2024-05-10 11:03,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
营销实习生,120-150元/天,6个月,1. 配合音乐营销，建联短视频平台垂类达人；,本科,1,2024-05-11 11:28,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
票务运营实习生,120-150元/天,6个月,1、负责秀动平台票务日常运营对接工作；,大专,1,2024-05-11 11:28,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
录音助理实习生,120-150元/天,6个月,1.协助录音师完成作品录制；,本科,1,2024-05-11 11:27,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
财务实习生/助理,120-150元/天,6个月,1、财务信息核对；,本科,1,2024-05-11 11:26,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
视频剪辑实习生-音乐彩铃方向,120-150元/天,6个月,1、负责咪咕彩铃视频物料输出；,大专,1,2024-05-11 11:26,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
客服服务实习-秀动,110-120元/天,6个月,1、负责400客服电话的接待工作，解答咨询；,大专,1,2024-05-10 13:24,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
社群运营实习生,120-150元/天,6个月,1.负责秀动app视频板块的相关话题策划及运营；,本科,1,2024-05-10 10:39,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
广告客户执行AE实习生,90-100元/天,3个月,协助上级完成竞业分析报告,不限,3,2024-05-15 11:49,VMLY&R,301~1000人,北京,广告|传媒|文化|体育
演出项目（统筹）实习生 for Keyia Studio,120-150元/天,6个月,1.协助项目经理完成项目统筹工作，跟进把控项目进度，对接好各方需求；,本科,1,2024-05-11 11:29,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
文案实习生,100-110元/天,长期,"1. 辅助创意部门进行创意资料收集,整理",本科,2,2024-05-15 11:49,VMLY&R,301~1000人,北京,广告|传媒|文化|体育
运营实习生（大石音乐）,120-150元/天,6个月,1. 负责大石版权新媒体矩阵的内容撰写、排版和运营，包括但不限于：微信、微博等社交媒体平台；,本科,1,2024-05-10 10:48,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
演出实习生,120-150元/天,6个月,1、协助项目经理完成项目(音乐节项目）筹备、报批、制作巡演计划等前期工作；,本科,1,2024-05-11 11:26,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
音乐内容营销实习生,120-150元/天,6个月,1. 协助音乐内容营销方案的制定,本科,1,2024-05-11 11:29,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
设计实习生,120-150元/天,6个月,1、协助演出事业部演出宣发物料制作、创意设计；,本科,1,2024-05-11 11:29,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
海外演出项目实习生-英语,120-150元/天,6个月,1、协助秀动海外项目经理挖掘优秀海外艺人，并促成演出合作；,本科,1,2024-05-11 11:28,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
F.A.M-厂牌助理实习生,120-150元/天,6个月,1.进行厂牌内部工作及项目的流程提报；,本科,1,2024-05-11 11:27,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
演出实习生（流程）,120-150元/天,6个月,1.协助项目经理进行项目结算；,本科,1,2024-05-11 11:36,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
宣传实习生,120-150元/天,6个月,1.负责大型演出官方平台运营工作，包括官方微信公众号、微博平台运营工作；,本科,1,2024-05-11 11:36,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
宣传实习生-内容中心,120-150元/天,6个月,1. 协助经纪团队进行歌曲、专辑的宣传策划；,本科,1,2024-05-10 13:29,北京太合音乐集团,301~1000人,北京,广告|传媒|文化|体育
海外KOL推广运营（英语+远程实习）,120-150元/天,长期,1. 负责百万DAU剪辑app的用户增长中KOL、KOC合作跟进和指导内容发布，对达成合作的创作者数量与质量负责 ；,本科,2,2024-05-07 10:42,小影科技,101~300人,浙江,互联网|游戏|软件
海外KOL推广运营（西语+远程实习）,100-150元/天,长期,1. 负责百万DAU剪辑app的用户增长中KOL、KOC合作跟进和指导内容发布，对达成合作的创作者数量与质量负责 ；,本科,2,2024-05-07 10:34,小影科技,101~300人,浙江,互联网|游戏|软件
电商运营实习生,149-150元/天,6个月,需要线下到办公室进行实习哦~~~,本科,1,2024-05-13 13:11,好哩！,11~50人,上海,快速消费品
客务接待,面议,6个月,1.熟悉接待与结账的工作内容，为客人提供准备的登记及账务信息 ,大专,2,2024-05-13 11:54,深圳邦芒,101~300人,广东,咨询/法律/人力资源
策划协调员,面议,6个月,1.处理部门行政工作包括与部门内外沟通与协调 ,大专,1,2024-05-13 11:54,深圳邦芒,101~300人,广东,咨询/法律/人力资源
宴会厅咨客,面议,6个月,1.了解宴会会议的规格，按照规程，并热情接待 ,大专,2,2024-05-13 11:54,深圳邦芒,101~300人,广东,咨询/法律/人力资源
中餐厅服务员（实习生）,面议,6个月,1.在主管的领导下进行工作安排，按餐厅服务工作规程和质量要求，做好接待工作 ,大专,25,2024-05-13 11:55,深圳邦芒,101~300人,广东,咨询/法律/人力资源
渠道运营助理,100-120元/天,2个月,1. 数据收集、归档、统计及跟进；,不限,1,2024-05-07 11:44,光亚法兰克福,11~50人,广东,广告|传媒|文化|体育
Academic Assistant 教务部门助理,100-150元/天,4个月,Description:,本科,1,2024-05-14 11:10,SK商学院,11~50人,江苏,教育培训
Tiktok推广实习生（尽快到岗）,120-150元/天,3个月,【岗位职责】,本科,3,2024-05-08 16:02,广州海尔HotOEM,51~100人,广东,互联网|游戏|软件
售后客户技术支持,150-160元/天,6个月,1、为付费客户提供售后服务，通过电话、服务群、线上沟通等方式解决客户在产品使用上的各类问题；,本科,1,2024-05-14 10:35,智齿科技,301~1000人,北京,互联网|游戏|软件
行业研究实习生,150-200元/天,3个月,1、协助开展AI行业案头研究、数据收集、分析及整理等工作，并配合撰写PPT或事务性文档；,本科,1,2024-05-10 10:57,兔展,301~1000人,广东,互联网|游戏|软件
导演助理,面议,2个月,1、根据节目内容需求进行初步调研、资料搜集整理，协助导演进行相关方案撰写,本科,5,2024-05-15 13:35,云集将来,11~50人,上海,广告|传媒|文化|体育
市场部实习生/MKT Intern - PR,面议,3个月,Mission:,本科,1,2024-04-30 11:54,Theory,301~1000人,上海,快速消费品
电商实习生/E-Commerce Intern,面议,3个月,品牌电商运营部门,本科,1,2024-04-30 11:53,Theory,301~1000人,上海,快速消费品
市场部实习生/MKT Intern - CRM,面议,3个月,1. 协助跟进会员活动营销，准备短信/彩信文案和素材及发送 ,本科,1,2024-04-30 11:51,Theory,301~1000人,上海,快速消费品
陈列部实习生/VM Intern,面议,3个月,1.负责KOS直播视频拍摄,本科,1,2024-04-30 11:51,Theory,301~1000人,上海,快速消费品
商品部实习生/MD Intern,面议,3个月,1.   负责日常商品部报表更新，数据整理工作,本科,1,2024-04-30 11:50,Theory,301~1000人,上海,快速消费品
财务部实习生/Finance Intern,面议,3个月,1. 打印银行流水，回单，对账单等,本科,1,2024-04-30 11:48,Theory,301~1000人,上海,快速消费品
行政实习生/ HR Intern,面议,3个月,1. 对来访客人做好接待、登记、引导工作，及时通知被访人员；,本科,1,2024-04-30 11:45,Theory,301~1000人,上海,快速消费品
